filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template
signal_1035_d75abbf1-fc54-4911-a9e0-5ac5d51a7e02.fast5	d75abbf1-fc54-4911-a9e0-5ac5d51a7e02	c2d19c211888bc09d8e077df271f325c911c1010	100	1	6339.9995	3.95525	6340.0019999999995	3.95275	1806	6.374011927111665
GXB01153_20180614_FAH86841_GA30000_sequencing_run_GIAB_GM24385_UB_Run2_57741_read_10503_ch_415_strand.fast5	52987f6a-7244-4108-a2c6-8c44c89856e7	ef109b4e69e27fcc79395512768b8827eb2cd49e	415	1	4976.042	3.74825	4976.0945	3.69575	1240	6.755379834769633
GXB01153_20180614_FAH86841_GA30000_sequencing_run_GIAB_GM24385_UB_Run2_57741_read_10426_ch_490_strand.fast5	5b8354e5-c54a-4d64-9850-856909cc68dd	ef109b4e69e27fcc79395512768b8827eb2cd49e	490	1	8371.535	39.428	8371.5775	39.3855	14594	6.490077611347327
GXB01153_20180614_FAH86841_GA30000_sequencing_run_GIAB_GM24385_UB_Run2_57741_read_10589_ch_490_strand.fast5	064f987a-6e4b-440f-bcc4-88b0642ea11e	ef109b4e69e27fcc79395512768b8827eb2cd49e	490	1	8834.00125	14.77575	8834.06375	14.71325	5204	6.837387202508339
signal_1034_8c460ec0-f085-40d5-8e27-226caa7efe22.fast5	8c460ec0-f085-40d5-8e27-226caa7efe22	c2d19c211888bc09d8e077df271f325c911c1010	100	1	6339.9995	28.53975	6340.0019999999995	28.53725	13296	6.649897282317905
signal_103_d602078f-63cc-44ef-b4c9-f9a48017f9a7.fast5	d602078f-63cc-44ef-b4c9-f9a48017f9a7	c2d19c211888bc09d8e077df271f325c911c1010	100	1	6339.9995	22.16425	6340.0019999999995	22.161749999999998	10355	6.47100147968274
signal_1037_2bceb392-4fe2-45d6-bdd6-f1f8aa20d3b2.fast5	2bceb392-4fe2-45d6-bdd6-f1f8aa20d3b2	c2d19c211888bc09d8e077df271f325c911c1010	100	1	6339.9995	25.1525	6340.0019999999995	25.15	11714	6.297114443346093
signal_1033_ae604ba4-010b-492e-ac68-056011fa227e.fast5	ae604ba4-010b-492e-ac68-056011fa227e	c2d19c211888bc09d8e077df271f325c911c1010	100	1	6339.9995	20.733	6340.0019999999995	20.7305	9776	6.578517374880233
GXB01153_20180614_FAH86841_GA30000_sequencing_run_GIAB_GM24385_UB_Run2_57741_read_10429_ch_302_strand.fast5	36414293-65a9-429f-b700-94b6f016f1c2	ef109b4e69e27fcc79395512768b8827eb2cd49e	302	1	6154.61725	16.03075	6154.66975	15.978250000000001	2976	7.040864741969049
GXB01153_20180614_FAH86841_GA30000_sequencing_run_GIAB_GM24385_UB_Run2_57741_read_10501_ch_418_strand.fast5	a306bf59-16a4-4bf7-a646-787b2ef831c4	ef109b4e69e27fcc79395512768b8827eb2cd49e	418	2	11758.51225	4.20175	11758.534749999999	4.17925	1372	5.91296456202382
